ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
Myc_ChIP_PET_Expr_Up_SigDB_Staudt	16/199	405/41384	1.61E-10	2.31E-07	1.58E-07	LSM11/SFXN4/RIOX2/MYC/NPM3/HMGA1/RRP1B/MTHFD1L/XPO6/ASS1/STEAP3/SLC39A3/TMEM147/NOLC1/FKBP11/ABLIM1	16	0.08040201	0.009786391	8.215695763	E788_vs_WT	up
GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP	12/199	195/41384	2.27E-10	2.98E-07	2.05E-07	SOCS3/CD274/SLCO4A1/DDIT4/IER3/GNPDA1/FNIP2/S1PR3/RAPGEF2/FERMT2/SLC9B2/CHAC1	12	0.060301508	0.004711966	12.79752609	E788_vs_WT	up
GSE10325_BCELL_VS_MYELOID_UP	12/199	197/41384	2.55E-10	2.99E-07	2.05E-07	TRIB2/TLE1/RASGRP1/SLAMF1/MZB1/ADAM19/RRAS2/ZHX2/BCL11A/FCER2/RPL6/ABLIM1	12	0.060301508	0.004760294	12.66760197	E788_vs_WT	up
GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_DN	12/199	199/41384	2.87E-10	2.99E-07	2.05E-07	LTA/HEMK1/FNIP2/EBNA1BP2/MYC/SEPTIN9/RRP1B/PRNP/NOLC1/SRM/CHAC1/BOP1	12	0.060301508	0.004808622	12.54028939	E788_vs_WT	up
GSE6674_ANTI_IGM_VS_CPG_STIM_BCELL_DN	12/199	199/41384	2.87E-10	2.99E-07	2.05E-07	LTA/HEMK1/OSM/IL2RA/MYC/SEPTIN9/ENTR1/RRP1B/SOCS2/TAF4B/NOLC1/SRM	12	0.060301508	0.004808622	12.54028939	E788_vs_WT	up
GSE17580_TREG_VS_TEFF_S_MANSONI_INF_UP	12/199	200/41384	3.04E-10	2.99E-07	2.05E-07	LTA/HEMK1/GJB2/SLAMF1/IL2RA/GNB4/HSD3B7/BCAT1/HOPX/PRNP/SOCS2/SLC9B2	12	0.060301508	0.004832786	12.47758794	E788_vs_WT	up
FUNG_IL2_SIGNALING_1	5/199	10/41384	6.04E-10	5.60E-07	3.84E-07	LTA/IL2RA/CCND2/SOCS2/NOLC1	5	0.025125628	2.42E-04	103.9798995	E788_vs_WT	up
FLETCHER_PBMC_BCG_10W_INFANT_BCG_STIMULATED_VS_UNSTIMULATED_10W_UP	10/199	127/41384	6.76E-10	5.92E-07	4.06E-07	LTA/OSM/DDIT4/IER3/APOL1/MTHFD1L/WARS1/FERMT2/PYCR1/CHAC1	10	0.050251256	0.003068819	16.37478732	E788_vs_WT	up
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_2MO_UP	14/199	324/41384	7.35E-10	6.10E-07	4.18E-07	LTA/CCL17/CLIC2/SLAMF1/IL2RA/KCNJ2/EBNA1BP2/APOL1/CDC45/ADAM19/CCND2/RAPGEF2/WARS1/GPR63	14	0.070351759	0.007829113	8.985917241	E788_vs_WT	up
NFkB_Up_HBL1_SigDB_Staudt	12/199	218/41384	8.15E-10	6.43E-07	4.41E-07	SSTR2/SOCS3/OSM/CD80/IER3/LRG1/RASGRP1/MYC/CCND2/SLC39A3/RHEBL1/TNFRSF21	12	0.060301508	0.005267736	11.44732839	E788_vs_WT	up
MyD88_NFKB_HBL1_SigDB_Staudt	9/199	95/41384	9.43E-10	7.07E-07	4.86E-07	SSTR2/SOCS3/OSM/CD80/RASGRP1/CCND2/SLC39A3/RHEBL1/TNFRSF21	9	0.045226131	0.002295573	19.70145464	E788_vs_WT	up
STK33_DN	13/199	280/41384	1.27E-09	9.10E-07	6.25E-07	OSBPL1A/PM20D2/GJB2/CCL5/VAT1L/RASGRP1/HHLA2/AKR1A1/SLC25A39/SLC9B2/DNAAF3/ABLIM1/VARS1	13	0.065326633	0.0067659	9.655276382	E788_vs_WT	up
BCR_activation_SigDB_Staudt	11/199	180/41384	1.40E-09	9.59E-07	6.58E-07	CCL17/GNPDA1/SLAMF1/NPM3/CCND2/MTHFD1L/PYCR1/NOLC1/SRM/CHAC1/PLXNA1	11	0.055276382	0.004349507	12.70865438	E788_vs_WT	up
YAGI_AML_WITH_11Q23_REARRANGED	14/199	345/41384	1.65E-09	1.08E-06	7.44E-07	ALOX5AP/PPID/PTP4A3/MAPKAPK3/SLC27A2/PRDX1/TTLL12/CCND2/WARS1/ZHX2/BMI1/SOCS2/GYPC/TMC6	14	0.070351759	0.008336555	8.438948365	E788_vs_WT	up
CC_1p33_up_SigDB_Staudt	13/199	290/41384	1.94E-09	1.22E-06	8.40E-07	LTA/DDIT4/MAPKAPK3/SLAMF1/EXTL2/MYC/RRP1B/BMI1/NSMF/TMC6/NOLC1/SRM/TBL3	13	0.065326633	0.007007539	9.322335817	E788_vs_WT	up
ALFANO_MYC_TARGETS	12/199	239/41384	2.32E-09	1.40E-06	9.63E-07	GNPDA1/TRAP1/EBNA1BP2/MYC/TTLL12/DESI1/AKAP12/CACNB2/RAPGEF2/PYCR1/NPAS1/ABCA3	12	0.060301508	0.005775179	10.44149618	E788_vs_WT	up
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_72H_ACT_CD4_TCELL_DN	11/199	195/41384	3.25E-09	1.90E-06	1.30E-06	LTA/CD274/ZC3H7B/GNPDA1/SLAMF1/IL2RA/WIPF1/RAPGEF2/RRAS2/IRF8/SOCS2	11	0.055276382	0.004711966	11.73106558	E788_vs_WT	up
GSE9988_LOW_LPS_VS_VEHICLE_TREATED_MONOCYTE_UP	11/199	196/41384	3.43E-09	1.91E-06	1.31E-06	SOCS3/CD274/GJB2/OSM/DDIT4/IER3/LINC01093/IL2RA/FNIP2/RAPGEF2/SLC9B2	11	0.055276382	0.00473613	11.67121321	E788_vs_WT	up
ZHENG_GLIOBLASTOMA_PLASTICITY_UP	12/199	248/41384	3.51E-09	1.91E-06	1.31E-06	TRIB2/TLE1/IER3/VAT1L/CCND1/CDC45/CCND2/HOPX/ASS1/TESC/SOCS2/PLPP3	12	0.060301508	0.005992654	10.06257092	E788_vs_WT	up
GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_DN	11/199	198/41384	3.81E-09	1.98E-06	1.36E-06	SOCS3/CD274/GJB2/SLCO4A1/IER3/LINC01093/SLAMF1/IL2RA/FERMT2/FSD1L/STEAP1	11	0.055276382	0.004784458	11.55332217	E788_vs_WT	up
GSE17974_0H_VS_4H_IN_VITRO_ACT_CD4_TCELL_DN	11/199	199/41384	4.02E-09	1.98E-06	1.36E-06	SLC35F3/LTA/SLAMF1/IL2RA/COPRS/PRDX1/DESI1/BCAT1/IRF8/TMEM147/SRM	11	0.055276382	0.004808622	11.49526527	E788_vs_WT	up
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_4H_CD4_TCELL_DN	11/199	199/41384	4.02E-09	1.98E-06	1.36E-06	LTA/TUBE1/TRAP1/IL2RA/PRDX1/DESI1/SPAG1/MTERF3/BCAT1/TMEM147/SRM	11	0.055276382	0.004808622	11.49526527	E788_vs_WT	up
GSE33292_DN3_THYMOCYTE_VS_TCF1_KO_TCELL_LYMPHOMA_UP	11/199	200/41384	4.23E-09	2.02E-06	1.39E-06	ALOX5AP/CCL17/TRIB2/ICAM2/TRAP1/PRNP/TMEM147/ABCA3/TMC6/SRM/ABLIM1	11	0.055276382	0.004832786	11.43778894	E788_vs_WT	up
PID_MYC_ACTIV_PATHWAY	8/199	79/41384	4.83E-09	2.19E-06	1.50E-06	RIOX2/MYC/CCND2/HMGA1/BCAT1/BMI1/TERT/TAF4B	8	0.040201005	0.00190895	21.05922015	E788_vs_WT	up
Glutamine_starve_down_SigDB_Staudt	13/199	313/41384	4.86E-09	2.19E-06	1.50E-06	PTDSS1/CCND1/EBNA1BP2/PRDX1/ADAM19/RRP1B/IRF8/XRCC5/SLC5A6/NOLC1/SRM/TBL3/BOP1	13	0.065326633	0.007563309	8.637307945	E788_vs_WT	up
MARZEC_IL2_SIGNALING_UP	9/199	115/41384	5.19E-09	2.27E-06	1.56E-06	OSM/IER3/CCND1/IL2RA/MYC/CCND2/RRAS2/SOCS2/TNFRSF21	9	0.045226131	0.002778852	16.2751147	E788_vs_WT	up
GOMF_CYTOKINE_RECEPTOR_BINDING	12/199	270/41384	9.08E-09	3.87E-06	2.65E-06	LTA/CCL17/IL31/IL9/SH2B3/OSM/CCL5/LRG1/TRAP1/TGFBR3/FERMT2/SOCS2	12	0.060301508	0.006524261	9.242657733	E788_vs_WT	up
PETROVA_PROX1_TARGETS_DN	7/199	56/41384	1.02E-08	4.21E-06	2.89E-06	FAP/ICAM2/MAPKAPK3/PRNP/TRAM2/BMP6/TNFRSF21	7	0.035175879	0.00135318	25.99497487	E788_vs_WT	up
MODULE_53	14/199	403/41384	1.19E-08	4.79E-06	3.29E-06	SSTR2/ALOX5AP/PTP4A3/DDIT4/CCL5/IER3/MYC/NPM3/CDC45/ADAM19/CCND2/RRP1B/NPAS1/BOP1	14	0.070351759	0.009738063	7.224409891	E788_vs_WT	up
MyD88_Up_HBL1_SigDB_Staudt	12/199	283/41384	1.53E-08	6.03E-06	4.14E-06	SSTR2/SOCS3/OSM/CD80/RASGRP1/PRDX1/CCND2/ASS1/SLC39A3/RHEBL1/TNFRSF21/PLXNA1	12	0.060301508	0.006838392	8.81808335	E788_vs_WT	up
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	13/199	353/41384	2.02E-08	7.76E-06	5.33E-06	FAP/COL15A1/CCL5/KCNJ2/WIPF1/TRDC/ADAM19/CCND2/FERMT2/IRF8/PRNP/PROS1/FKBP11	13	0.065326633	0.008529867	7.658576167	E788_vs_WT	up
WANG_SMARCE1_TARGETS_UP	12/199	295/41384	2.42E-08	9.08E-06	6.23E-06	FAP/SOCS3/TRIB2/GJB2/COL15A1/VAT1L/S1PR3/WARS1/BCAT1/SOCS2/PROS1/STEAP1	12	0.060301508	0.007128359	8.459381654	E788_vs_WT	up
HP_CLUBBING	9/199	138/41384	2.57E-08	9.43E-06	6.47E-06	EIF2AK4/RASGRP1/CDC45/SPAG1/RHBDF2/ABCA3/TERT/SLC5A6/DNAAF3	9	0.045226131	0.003334622	13.56259559	E788_vs_WT	up
GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	14/199	438/41384	3.35E-08	1.20E-05	8.23E-06	SOCS3/KHDRBS3/ATP8B4/TRAP1/STK24/NPM3/CCND2/RRP1B/WARS1/ASS1/TRAM2/BCL11A/TNFRSF21/NOLC1	14	0.070351759	0.010583801	6.647116863	E788_vs_WT	up
MODULE_94	13/199	372/41384	3.73E-08	1.26E-05	8.65E-06	CCL17/IER3/RASGRP1/PTPRO/SLC27A2/TGFBR3/APOL1/HOPX/IRF8/SOCS2/NPAS1/ABCA3/STEAP1	13	0.065326633	0.008988981	7.26741233	E788_vs_WT	up
GSE2706_UNSTIM_VS_2H_LPS_DC_DN	10/199	194/41384	4.02E-08	1.26E-05	8.65E-06	LTA/SOCS3/CD274/PTP4A3/CD80/RASGRP1/KCNJ2/SPAG1/RAPGEF2/IRF8	10	0.050251256	0.004687802	10.71957727	E788_vs_WT	up
DELYS_THYROID_CANCER_UP	14/199	445/41384	4.07E-08	1.26E-05	8.65E-06	FAP/ALOX5AP/CCL17/PTP4A3/IER3/MAPKAPK3/CCND1/CCND2/WARS1/GFUS/BCAT1/TNFRSF21/TMC6/PROS1	14	0.070351759	0.010752948	6.542555474	E788_vs_WT	up
GSE29618_BCELL_VS_MONOCYTE_UP	10/199	195/41384	4.22E-08	1.26E-05	8.65E-06	TRIB2/TLE1/RASGRP1/MYC/ADAM19/RRAS2/ZHX2/BCL11A/FCER2/ABLIM1	10	0.050251256	0.004711966	10.66460508	E788_vs_WT	up
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_HET_2H_UP	10/199	195/41384	4.22E-08	1.26E-05	8.65E-06	SOCS3/GJB2/OSM/IER3/CCND1/KCNJ2/S1PR3/BCAT1/SOCS2/FSD1L	10	0.050251256	0.004711966	10.66460508	E788_vs_WT	up
VERHAAK_AML_WITH_NPM1_MUTATED_DN	11/199	250/41384	4.24E-08	1.26E-05	8.65E-06	TRIB2/FAM171A1/TRDC/CCND2/ZHX2/HOPX/ASS1/TNFRSF21/SCRN1/GYPC/ABLIM1	11	0.055276382	0.006040982	9.150231156	E788_vs_WT	up
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN	10/199	196/41384	4.43E-08	1.26E-05	8.65E-06	ZBTB32/TLE1/B4GALT1/MZB1/AKR1A1/IRF8/RHBDF2/BCL11A/FCER2/SCRN1	10	0.050251256	0.00473613	10.61019383	E788_vs_WT	up
GSE2706_UNSTIM_VS_8H_LPS_AND_R848_DC_DN	10/199	196/41384	4.43E-08	1.26E-05	8.65E-06	LTA/SOCS3/CD274/KCNJ2/C4orf46/DESI1/RAPGEF2/WARS1/IRF8/CHAC1	10	0.050251256	0.00473613	10.61019383	E788_vs_WT	up
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_UP	10/199	196/41384	4.43E-08	1.26E-05	8.65E-06	TRIB2/TLE1/RASGRP1/MYC/ADAM19/RRAS2/ZHX2/BCL11A/FCER2/ABLIM1	10	0.050251256	0.00473613	10.61019383	E788_vs_WT	up
MTOR_UP.N4.V1_UP	10/199	196/41384	4.43E-08	1.26E-05	8.65E-06	SSTR2/SLCO4A1/DDIT4/EBNA1BP2/BCAT1/ASS1/PYCR1/CHAC1/FKBP11/VARS1	10	0.050251256	0.00473613	10.61019383	E788_vs_WT	up
CC_1p5_up_SigDB_Staudt	9/199	147/41384	4.45E-08	1.26E-05	8.65E-06	LTA/DDIT4/SLAMF1/MYC/BMI1/NSMF/TMC6/NOLC1/SRM	9	0.045226131	0.003552097	12.73223259	E788_vs_WT	up
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	10/199	198/41384	4.88E-08	1.26E-05	8.65E-06	LTA/OSM/SLCO4A1/SLAMF1/STK24/C4orf46/MTHFD1L/TESC/SOCS2/ETFDH	10	0.050251256	0.004784458	10.50302015	E788_vs_WT	up
GSE16451_IMMATURE_VS_MATURE_NEURON_CELL_LINE_WEST_EQUINE_ENC_VIRUS_DN	10/199	198/41384	4.88E-08	1.26E-05	8.65E-06	ZBTB32/SFXN4/MAPKAPK3/TRAP1/SLAMF1/WARS1/SLC25A39/SLC39A3/SRM/CHAC1	10	0.050251256	0.004784458	10.50302015	E788_vs_WT	up
GSE22611_UNSTIM_VS_6H_MDP_STIM_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_UP	10/199	198/41384	4.88E-08	1.26E-05	8.65E-06	SH2B3/GNPDA1/EXTL2/CARM1/BMI1/UBQLN4/PRNP/PLPP3/B3GNTL1/TAF4B	10	0.050251256	0.004784458	10.50302015	E788_vs_WT	up
GSE2770_IL12_AND_TGFB_ACT_VS_ACT_CD4_TCELL_6H_DN	10/199	198/41384	4.88E-08	1.26E-05	8.65E-06	LTA/ZBTB32/IL2RA/ADAM19/CCND2/RRAS2/WARS1/IRF8/PRNP/STEAP1	10	0.050251256	0.004784458	10.50302015	E788_vs_WT	up
GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_DN	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	SOCS3/CD274/CCL5/LRG1/MYC/GNB4/WARS1/ASS1/TNFRSF21/SRM	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_UP	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	ZBTB32/PTP4A3/HEMK1/COL15A1/TUBE1/IL2RA/RRAS2/MTHFD1L/PRNP/SOCS2	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE24574_BCL6_HIGH_VS_LOW_TFH_CD4_TCELL_DN	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	LTA/PPID/AHCYL1/MAPKAPK3/TRAP1/PRDX1/NPM3/CDC45/WARS1/PYCR1	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	AHCYL1/SLC27A2/EBNA1BP2/PRDX1/NPM3/CDC45/CCND2/BCAT1/PYCR1/SRM	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_DN	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	SOCS3/TLE1/ICAM2/DDIT4/MYC/GNB4/PTPRA/SLC9B2/TMC6/NOLC1	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_OLD_DN	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	CCL17/SLCO4A1/IER3/GNPDA1/CLIC2/TRAP1/IL2RA/EBNA1BP2/DESI1/WARS1	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_UP	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	AHCYL1/CCND1/IL2RA/RIOX2/DESI1/MTERF3/CMAHP/PRNP/SRM/TBL3	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
GSE45739_NRAS_KO_VS_WT_UNSTIM_CD4_TCELL_UP	10/199	200/41384	5.36E-08	1.26E-05	8.65E-06	SH2B3/ICAM2/MAPKAPK3/COPRS/NPM3/RRAS2/MTHFD1L/NSMF/SLC5A6/PDE9A	10	0.050251256	0.004832786	10.39798995	E788_vs_WT	up
FAN_OVARY_CL5_HEALTHY_SELECTABLE_FOLLICLE_THECAL_CELL	12/199	318/41384	5.50E-08	1.27E-05	8.75E-06	NCALD/TLE1/COL15A1/DDIT4/EXTL2/NPM3/SEPTIN9/TMEM9/FERMT2/IRF8/GYPC/NOLC1	12	0.060301508	0.007684129	7.847539585	E788_vs_WT	up
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_UP	11/199	257/41384	5.61E-08	1.28E-05	8.80E-06	CCL17/ZBTB32/IL9/SLCO4A1/CCND1/KCNJ2/APOL1/CDC45/SPAG1/WARS1/SOCS2	11	0.055276382	0.00621013	8.90100307	E788_vs_WT	up
GOBP_REGULATION_OF_CELL_CELL_ADHESION	14/199	458/41384	5.80E-08	1.31E-05	8.97E-06	CD274/SH2B3/CD80/CCL5/RASGRP1/SLAMF1/IL2RA/ADAM19/HHLA2/ASS1/PRNP/PLPP3/BMP6/TNFRSF21	14	0.070351759	0.011067079	6.356849751	E788_vs_WT	up
STAT5A_01	11/199	259/41384	6.07E-08	1.35E-05	9.25E-06	FAP/NCALD/MTTP/OSM/CCL5/CACNA1D/WIPF1/SEPTIN9/AKR1A1/SOCS2/PROS1	11	0.055276382	0.006258457	8.832269455	E788_vs_WT	up
MCLACHLAN_DENTAL_CARIES_UP	11/199	265/41384	7.65E-08	1.68E-05	1.15E-05	SOCS3/ALOX5AP/PTP4A3/COL15A1/CCL5/IER3/MZB1/WARS1/IRF8/TNFRSF21/FKBP11	11	0.055276382	0.006403441	8.632293543	E788_vs_WT	up
HIF1alpha_1.5x_down_SigDB_Staudt	10/199	214/41384	1.01E-07	2.18E-05	1.50E-05	SLCO4A1/GNPDA1/EBNA1BP2/MTERF3/HMGA1/RRP1B/SLC5A6/NOLC1/SRM/BOP1	10	0.050251256	0.005171081	9.717747617	E788_vs_WT	up
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	9/199	162/41384	1.03E-07	2.19E-05	1.50E-05	FAP/ICAM2/IER3/MAPKAPK3/PLOD2/PRNP/TRAM2/BMP6/TNFRSF21	9	0.045226131	0.003914556	11.55332217	E788_vs_WT	up
MODULE_118	13/199	408/41384	1.09E-07	2.28E-05	1.57E-05	ALOX5AP/PTP4A3/DDIT4/CCL5/IER3/PLOD2/MYC/NPM3/CDC45/AKAP12/ADAM19/CCND2/NPAS1	13	0.065326633	0.009858883	6.626170066	E788_vs_WT	up
KIM_WT1_TARGETS_UP	10/199	216/41384	1.10E-07	2.28E-05	1.57E-05	TNS1/SH2B3/IER3/IL2RA/MYC/AKAP12/HMGA1/RRAS2/FERMT2/TMC6	10	0.050251256	0.005219408	9.627768472	E788_vs_WT	up
SMID_BREAST_CANCER_NORMAL_LIKE_UP	14/199	484/41384	1.14E-07	2.31E-05	1.58E-05	SLIT3/ICAM2/CCL5/CLIC2/TGFBR3/WIPF1/MZB1/TRDC/TESC/IRF8/PLPP3/BCL11A/PROS1/ABLIM1	14	0.070351759	0.011695341	6.015366087	E788_vs_WT	up
GSE10211_UV_INACT_SENDAI_VS_LIVE_SENDAI_VIRUS_TRACHEAL_EPITHELIAL_CELLS_DN	9/199	164/41384	1.14E-07	2.31E-05	1.58E-05	CD80/COL15A1/MAPKAPK3/MYC/SEPTIN9/WARS1/BCAT1/IRF8/VARS1	9	0.045226131	0.003962884	11.41242799	E788_vs_WT	up
HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	11/199	282/41384	1.43E-07	2.86E-05	1.96E-05	DDIT4/CLIC2/CCND1/MYC/WIPF1/CCND2/ZHX2/IRF8/SRM/CHAC1/FKBP11	11	0.055276382	0.006814228	8.111907053	E788_vs_WT	up
ZHENG_BOUND_BY_FOXP3	14/199	496/41384	1.53E-07	3.02E-05	2.07E-05	TRIB2/TUBE1/SLAMF1/IL2RA/STK24/CWC27/WIPF1/C4orf46/ADAM19/RAPGEF2/RRAS2/CMAHP/SOCS2/ABLIM1	14	0.070351759	0.011985308	5.869833036	E788_vs_WT	up
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	7/199	84/41384	1.77E-07	3.45E-05	2.37E-05	GNPDA1/RIOX2/SLC27A2/RRP1B/XPO6/NOLC1/STEAP1	7	0.035175879	0.00202977	17.32998325	E788_vs_WT	up
HADDAD_B_LYMPHOCYTE_PROGENITOR	11/199	289/41384	1.83E-07	3.52E-05	2.41E-05	TRIB2/FAM171A1/TLE1/RASGRP1/KCNJ2/MZB1/AKAP12/ZHX2/SOCS2/NSMF/PLXNA1	11	0.055276382	0.006983375	7.915424875	E788_vs_WT	up
MODULE_15	12/199	357/41384	1.92E-07	3.64E-05	2.50E-05	PTP4A3/DDIT4/MAPKAPK3/MYC/TTLL12/ADAM19/CCND2/RRP1B/HOPX/BMI1/NOLC1/BOP1	12	0.060301508	0.008626522	6.990245344	E788_vs_WT	up
MODULE_52	13/199	430/41384	1.98E-07	3.72E-05	2.55E-05	PTP4A3/DDIT4/IER3/PLOD2/MYC/CDC45/AKAP12/RRP1B/TRAM2/NPAS1/NOLC1/STEAP1/BOP1	13	0.065326633	0.010390489	6.287156714	E788_vs_WT	up
MANALO_HYPOXIA_DN	11/199	292/41384	2.03E-07	3.74E-05	2.57E-05	SLCO4A1/GNPDA1/EBNA1BP2/MTERF3/HMGA1/RRP1B/SLC5A6/NOLC1/SRM/BOP1/VARS1	11	0.055276382	0.007055867	7.834102017	E788_vs_WT	up
VAN_DEN_BIGGELAAR_PBMC_PREVNAR_9MO_INFANT_STIMULATED_VS_UNSTIMULATED_9MO_UP	8/199	127/41384	2.04E-07	3.74E-05	2.57E-05	LTA/ZBTB32/APOL4/CD274/IL9/OSM/IL2RA/SLC27A2	8	0.040201005	0.003068819	13.09982986	E788_vs_WT	up
MODULE_5	13/199	434/41384	2.20E-07	3.99E-05	2.74E-05	SOCS3/ALOX5AP/PTP4A3/CCL5/IER3/MAPKAPK3/CCND1/TGFBR3/ADAM19/CMAHP/HOPX/ABCA3/ABLIM1	13	0.065326633	0.010487145	6.229210569	E788_vs_WT	up
